Rank,Title,Type,Episodes,Air Dates,Members,Score
144,Shouwa Genroku Rakugo Shinjuu,TV,13,Jan 2016 - Apr 2016,315673,8.54
145,Kaguya-sama wa Kokurasetai: Otona e no Kaidan,TV Special,1,Dec 2025 - Dec 2025,108674,8.53
146,Mushishi: Hihamukage,TV Special,1,Jan 2014 - Jan 2014,154007,8.53
147,Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV,13,Jan 2025 - Mar 2025,794375,8.53
148,Zoku Natsume Yuujinchou,TV,13,Jan 2009 - Mar 2009,267477,8.53
149,[Oshi no Ko],TV,11,Apr 2023 - Jun 2023,1059172,8.53
150,Fruits Basket 2nd Season,TV,25,Apr 2020 - Sep 2020,587599,8.52
151,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Apr 2010 - Apr 2010,178024,8.52
152,Samurai Champloo,TV,26,May 2004 - Mar 2005,1356491,8.52
153,Shoujo☆Kageki Revue Starlight Movie,Movie,1,Jun 2021 - Jun 2021,26296,8.52
154,Bakuman. 3rd Season,TV,25,Oct 2012 - Mar 2013,348799,8.51
155,Dr. Stone: Science Future Part 2,TV,12,Jul 2025 - Sep 2025,233667,8.51
156,Gintama. Porori-hen,TV,13,Oct 2017 - Dec 2017,223287,8.51
157,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,Apr 2016 - Dec 2016,1278713,8.51
158,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,Dec 2022 - Dec 2022,314119,8.51
159,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26,Jan 2004 - Jan 2005,242856,8.51
160,Tian Guan Cifu Short Films,ONA,?,Feb 2025 -,11871,8.51
161,[Oshi no Ko] 2nd Season,TV,13,Jul 2024 - Oct 2024,526284,8.51
162,Given Movie 3: Umi e,Movie,1,Sep 2024 - Sep 2024,32295,8.5
163,Grand Blue Season 2,TV,12,Jul 2025 - Sep 2025,204163,8.5
164,Jujutsu Kaisen,TV,24,Oct 2020 - Mar 2021,3057018,8.5
165,Kaoru Hana wa Rin to Saku,TV,13,Jul 2025 - Sep 2025,469270,8.5
166,Kara no Kyoukai Movie 5: Mujun Rasen,Movie,1,Aug 2008 - Aug 2008,254588,8.5
167,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,Oct 2013 - Oct 2013,423361,8.5
168,Nippon Sangoku,TV,12,Apr 2026 - Jun 2026,84929,8.5
169,Sora yori mo Tooi Basho,TV,13,Jan 2018 - Mar 2018,555790,8.5
170,Xian Ni,ONA,180,Sep 2023 -,11815,8.5
171,Yuru Camp△ Season 2,TV,13,Jan 2021 - Apr 2021,254895,8.5
172,Dorohedoro Season 2,ONA,11,Apr 2026 - May 2026,82115,8.49
173,Mob Psycho 100,TV,12,Jul 2016 - Sep 2016,2331240,8.49
174,Aria the Origination,TV,13,Jan 2008 - Apr 2008,142657,8.48
175,Ousama Ranking,TV,23,Oct 2021 - Mar 2022,761184,8.48
176,Tian Guan Cifu Special,ONA,1,Feb 2021 - Feb 2021,60904,8.48
177,Uchuu Kyoudai,TV,99,Apr 2012 - Mar 2014,211377,8.48
178,Ansatsu Kyoushitsu 2nd Season,TV,25,Jan 2016 - Jul 2016,1575022,8.47
179,Chou Kaguya-hime!,ONA,1,Jan 2026 - Jan 2026,97048,8.47
180,Nichijou,TV,26,Apr 2011 - Sep 2011,986924,8.47
181,One Punch Man,TV,12,Oct 2015 - Dec 2015,3531161,8.47
182,Prism Rondo,ONA,20,Jan 2026 - Jan 2026,61875,8.47
183,Yakusoku no Neverland,TV,12,Jan 2019 - Mar 2019,2162670,8.47
184,Chihayafuru 3,TV,24,Oct 2019 - Mar 2020,157856,8.46
185,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,Jan 2019 - Jan 2019,441244,8.46
186,Mo Dao Zu Shi: Xian Yun Pian,ONA,8,Aug 2019 - Sep 2019,119198,8.46
187,Rainbow: Nisha Rokubou no Shichinin,TV,26,Apr 2010 - Sep 2010,426383,8.46
188,Summertime Render,TV,25,Apr 2022 - Sep 2022,684044,8.46
189,Yuu☆Yuu☆Hakusho,TV,112,Oct 1992 - Jan 1995,756230,8.46
190,Banana Fish,TV,24,Jul 2018 - Dec 2018,967324,8.45
191,Gintama: The Semi-Final,Special,2,Jan 2021 - Jan 2021,93851,8.45
192,Grand Blue,TV,12,Jul 2018 - Sep 2018,911701,8.45
193,Mo Dao Zu Shi,ONA,15,Jul 2018 - Oct 2018,256785,8.45
194,Nezha Zhi Mo Tong Nao Hai,Movie,1,Jan 2025 - Jan 2025,11906,8.45
195,Owarimonogatari,TV,12,Oct 2015 - Dec 2015,512366,8.45
196,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,Apr 2013 - Apr 2013,645479,8.45
197,Hunter x Hunter,TV,62,Oct 1999 - Mar 2001,650963,8.44
198,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,TV,24,Jan 2015 - Jun 2015,1257447,8.44
199,Medalist 2nd Season,TV,9,Jan 2026 - Mar 2026,43644,8.44
200,Pluto,ONA,8,Oct 2023 - Oct 2023,254956,8.44
